"Hotel accommodation: arrivals and overnight stays of open establishments by year, month, canton and visitors' country of residence"

"Year";"Month";"Canton";"Visitors' country of residence - total Arrivals";"Switzerland Arrivals";"Baltic States Arrivals";"Germany Arrivals";"France Arrivals";"Italy Arrivals";"Austria Arrivals";"United Kingdom Arrivals";"Irland Arrivals";"Netherlands Arrivals";"Belgium Arrivals";"Luxembourg Arrivals";"Denmark Arrivals";"Sweden Arrivals";"Norway Arrivals";"Finland Arrivals";"Spain Arrivals";"Portugal Arrivals";"Greece Arrivals";"Turkey Arrivals";"Other European countries Arrivals";"Liechtenstein Arrivals";"Iceland Arrivals";"Poland Arrivals";"Hungary Arrivals";"Belarus Arrivals";"Bulgaria Arrivals";"Malta Arrivals";"Cyprus Arrivals";"Chile Arrivals";"United States Arrivals";"Canada Arrivals";"Mexico Arrivals";"Brazil Arrivals";"Argentina Arrivals";"Central America, Caribbean Arrivals";"Other South American countries Arrivals";"Other Central American countries Arrivals";"Egypt Arrivals";"Other North African countries Arrivals";"South Africa Arrivals";"Other African countries Arrivals";"Bahrain Arrivals";"Israel Arrivals";"India Arrivals";"Japan Arrivals";"Other South-East Asian countries Arrivals";"Qatar Arrivals";"Kuwait Arrivals";"Australia Arrivals";"Australia, New Zealand, Oceania Arrivals";"China Arrivals";"Gulf States Arrivals";"Hong Kong Arrivals";"Indonesia Arrivals";"South Korea Arrivals";"Malaysia Arrivals";"Philippines Arrivals";"New Zealand, Oceania Arrivals";"Singapore Arrivals";"Oman Arrivals";"Taiwan (Chinese Taipei) Arrivals";"Thailand Arrivals";"Other West Asian countries Arrivals";"Estonia Arrivals";"Latvia Arrivals";"Lithuania Arrivals";"Saudi Arabia Arrivals";"United Arab Emirates Arrivals";"Serbia and Montenegro Arrivals";"Croatia Arrivals";"Romania Arrivals";"Russia Arrivals";"Slovakia Arrivals";"Slovenia Arrivals";"Czechia Arrivals";"Ukraine Arrivals";"Serbia Arrivals"
"2009";"January";"Switzerland";1064111;528523;1250;154530;44363;38939;10142;53636;2662;20687;16390;3858;4136;6679;2310;2295;11423;3394;4141;3074;7195;756;293;3942;1346;402;972;...;...;421;29392;5021;...;4725;754;1888;1180;...;608;1173;2046;2246;...;3310;2733;7892;2136;...;...;...;7618;12580;3791;2793;360;3917;989;220;...;2813;...;1998;1801;1175;...;...;...;...;...;919;963;1955;21566;644;638;1885;2623;...
"2009";"February";"Switzerland";1089483;521069;864;160914;59787;35721;10615;65594;2880;39239;21681;6306;6214;9905;3604;3811;11249;3620;2770;2508;7060;838;452;3601;1578;344;1042;...;...;266;26846;4443;...;3229;583;1475;1049;...;765;1391;1131;2547;...;3570;2769;6970;2006;...;...;...;4084;7909;4358;1433;282;3239;804;215;...;2079;...;960;2416;1075;...;...;...;...;...;779;728;1657;9881;920;595;2435;1328;...
"2009";"March";"Switzerland";1196859;567431;1290;187297;55015;43895;14476;61323;2744;24138;24391;2841;4722;9546;4362;3432;14089;3951;3945;2538;7905;1021;391;4597;2090;382;1244;...;...;274;38721;6429;...;3164;792;2105;1504;...;1041;1754;1508;3425;...;4853;4857;9657;2973;...;...;...;4364;10988;5303;2799;999;3913;1111;260;...;3373;...;1381;4137;1276;...;...;...;...;...;964;965;2010;13485;1123;780;3676;1839;...
"2009";"April";"Switzerland";1045137;468308;1671;164642;48102;38747;13328;48590;2446;20859;19664;3063;4039;6669;2614;4032;14347;3431;4057;2001;6546;885;368;2801;3018;637;964;...;...;237;36751;6264;...;4268;816;2141;1430;...;778;1271;1512;2792;...;4021;9959;9885;2939;...;...;...;6022;15838;4621;2804;1008;5863;1277;588;...;3511;...;2498;9251;1214;...;...;...;...;...;916;1010;1750;9139;1491;1073;3029;1341;...
"2009";"May";"Switzerland";1214666;548389;1120;183987;52869;40187;16379;51515;2253;25541;13093;2900;4231;6231;2452;3345;14085;3286;3269;2618;7904;1116;482;3372;3013;347;1684;...;...;381;56438;9060;...;4523;1139;2134;1496;...;770;1395;1612;3693;...;3736;28426;17785;3864;...;...;...;9073;17530;5001;3232;1292;6588;1437;573;...;3954;...;3391;4528;1611;...;...;...;...;...;919;903;1638;13502;1014;847;3823;1690;...
"2009";"June";"Switzerland";1446249;638139;1357;222239;56648;41357;19837;66242;2957;36720;19278;3035;4778;7171;3481;4018;18013;4160;3241;2700;8377;1141;527;4169;3484;382;1591;...;...;447;82686;10637;...;4916;1416;3341;2464;...;968;1685;1968;5283;...;5710;24917;38040;4295;...;...;...;11856;13112;8306;3348;1834;6093;1434;436;...;6200;...;2610;2466;2034;...;...;...;...;...;752;1364;2480;10201;949;1213;4119;1627;...
"2009";"July";"Switzerland";1821751;805722;2264;251183;73066;49518;21200;72996;3085;77112;40464;3964;10063;8745;6706;4482;26111;3727;5326;2275;9204;1380;448;4790;4941;764;1691;...;...;434;88264;10835;...;6557;1229;3269;2067;...;1652;1891;1985;3776;...;8275;17424;64145;5135;...;...;...;12386;16701;27200;4426;1943;10585;1001;369;...;3145;...;3750;3046;2208;...;...;...;...;...;611;728;3964;12487;1389;1032;4669;1946;...
"2009";"August";"Switzerland";1876038;834422;2328;292899;84149;81086;25317;72960;3102;65531;31603;5744;5677;5909;3104;3061;39841;4393;7822;2348;10815;1514;917;4750;5255;699;1908;...;...;355;66223;9579;...;4277;947;2423;1719;...;1066;1654;1579;3327;...;11344;15100;48105;4441;...;...;...;9714;18208;21755;3809;763;10359;761;367;...;2745;...;3511;2173;1980;...;...;...;...;...;790;1054;5440;13107;1288;1192;5573;2156;...
"2009";"September";"Switzerland";1621888;789269;1389;248366;60379;44028;20758;67761;2977;32461;18140;3586;5457;8378;3955;3235;21926;3698;3577;2766;8322;1072;453;4417;3479;403;1433;...;...;507;77014;11554;...;6406;1395;3230;2186;...;999;1254;2036;3732;...;6157;12159;37268;3809;...;...;...;13308;20566;6248;3471;2962;5911;1705;467;...;3881;...;3547;3246;1698;...;...;...;...;...;795;961;2702;10916;1024;1245;4220;1624;...
"2009";"October";"Switzerland";1267800;658074;1007;171685;51764;40245;14019;43340;2368;18800;10307;2042;3735;6003;2835;2819;15283;3108;3078;2605;6094;1013;546;3292;2605;271;1024;...;...;508;47310;8061;...;6020;1175;2543;1792;...;1086;1689;1484;4279;...;5201;8477;18680;3639;...;...;...;8766;25423;6250;4018;707;6088;1247;413;...;4077;...;2779;6040;2137;...;...;...;...;...;859;945;2175;10205;748;1068;2472;1477;...
"2009";"November";"Switzerland";880617;427168;889;113166;46215;36892;11922;37362;1989;12304;9999;1826;3331;4623;2112;2113;12495;3276;3000;3317;5288;732;311;3290;1937;247;1191;...;...;275;30915;4952;...;3906;638;1973;1297;...;940;1451;1267;3817;...;2781;4952;9316;2979;...;...;...;4258;15066;5379;2036;1072;4466;1265;543;...;5194;...;1591;2119;1450;...;...;...;...;...;884;823;2217;8759;806;598;2116;1521;...
"2009";"December";"Switzerland";1039895;484062;1174;143503;53485;55949;9535;50090;2555;23561;16820;4089;3121;4440;1892;2093;13760;3017;6936;2381;5685;712;343;3899;1605;358;888;...;...;194;29318;4387;...;4000;475;1660;1380;...;875;1273;2135;2858;...;2957;4549;7762;2487;...;...;...;8127;13217;4523;2956;2708;4495;2398;285;...;11199;...;1351;3457;1404;...;...;...;...;...;756;739;2165;12503;732;621;2043;1953;...
"2010";"January";"Switzerland";1075731;539765;...;153073;45393;39336;11069;53743;2532;18919;15583;3880;4551;6261;2673;2849;11971;2776;4451;3618;5966;845;275;4213;1613;524;928;46;169;323;31431;5133;...;5582;677;1900;1400;...;782;1052;1797;2255;...;3553;2934;6606;2635;...;...;6627;...;9782;4282;1982;592;5026;808;283;1246;2835;...;1276;1668;1509;703;210;242;...;...;...;823;2022;22074;618;773;1995;2480;793
