Catégorie : Toutes catégories

Mois,Flight Switzerland: (Dans tous les pays)
2004-01,60
2004-02,100
2004-03,25
2004-04,77
2004-05,50
2004-06,58
2004-07,61
2004-08,40
2004-09,22
2004-10,23
2004-11,30
2004-12,64
2005-01,43
2005-02,26
2005-03,27
2005-04,61
2005-05,27
2005-06,64
2005-07,38
2005-08,32
2005-09,29
2005-10,27
2005-11,27
2005-12,26
2006-01,73
2006-02,44
2006-03,41
2006-04,37
2006-05,34
2006-06,35
2006-07,28
2006-08,45
2006-09,41
2006-10,17
2006-11,41
2006-12,32
2007-01,37
2007-02,26
2007-03,37
2007-04,21
2007-05,25
2007-06,34
2007-07,42
2007-08,26
2007-09,35
2007-10,35
2007-11,36
2007-12,29
2008-01,45
2008-02,23
2008-03,17
2008-04,29
2008-05,39
2008-06,26
2008-07,30
2008-08,29
2008-09,37
2008-10,34
2008-11,26
2008-12,25
2009-01,42
2009-02,44
2009-03,26
2009-04,34
2009-05,41
2009-06,37
2009-07,36
2009-08,28
2009-09,16
2009-10,20
2009-11,21
2009-12,19
2010-01,25
2010-02,26
2010-03,34
2010-04,42
2010-05,44
2010-06,36
2010-07,29
2010-08,33
2010-09,28
2010-10,22
2010-11,18
2010-12,23
2011-01,33
2011-02,25
2011-03,29
2011-04,24
2011-05,30
2011-06,27
2011-07,26
2011-08,30
2011-09,26
2011-10,26
2011-11,28
2011-12,26
2012-01,28
2012-02,26
2012-03,26
2012-04,26
2012-05,30
2012-06,26
2012-07,37
2012-08,35
2012-09,25
2012-10,34
2012-11,23
2012-12,33
2013-01,30
2013-02,26
2013-03,29
2013-04,30
2013-05,32
2013-06,37
2013-07,36
2013-08,30
2013-09,34
2013-10,23
2013-11,27
2013-12,27
2014-01,37
2014-02,35
2014-03,37
2014-04,40
2014-05,36
2014-06,41
2014-07,40
2014-08,39
2014-09,45
2014-10,30
2014-11,33
2014-12,38
2015-01,36
2015-02,36
2015-03,45
2015-04,41
2015-05,36
2015-06,52
2015-07,49
2015-08,37
2015-09,32
2015-10,30
2015-11,39
2015-12,37
2016-01,45
2016-02,39
2016-03,50
2016-04,38
2016-05,52
2016-06,54
2016-07,46
2016-08,42
2016-09,44
2016-10,43
2016-11,39
2016-12,46
2017-01,59
2017-02,54
2017-03,52
2017-04,56
2017-05,63
2017-06,56
2017-07,63
2017-08,57
2017-09,59
2017-10,61
2017-11,47
2017-12,56
2018-01,74
2018-02,75
2018-03,70
2018-04,65
2018-05,73
2018-06,74
2018-07,68
2018-08,65
2018-09,62
2018-10,58
2018-11,60
2018-12,68
2019-01,72
2019-02,62
2019-03,74
2019-04,67
2019-05,76
2019-06,89
2019-07,85
2019-08,78
2019-09,81
2019-10,64
2019-11,71
2019-12,74
2020-01,89
2020-02,75
2020-03,62
2020-04,32
2020-05,29
2020-06,35
2020-07,39
2020-08,37
2020-09,36
2020-10,39
2020-11,34
2020-12,42
