Catégorie : Toutes catégories

Mois,Geneva Airport: (Dans tous les pays)
2004-01,86
2004-02,60
2004-03,59
2004-04,26
2004-05,30
2004-06,49
2004-07,50
2004-08,42
2004-09,48
2004-10,50
2004-11,51
2004-12,52
2005-01,95
2005-02,76
2005-03,72
2005-04,40
2005-05,43
2005-06,47
2005-07,45
2005-08,39
2005-09,49
2005-10,53
2005-11,43
2005-12,62
2006-01,77
2006-02,71
2006-03,58
2006-04,44
2006-05,32
2006-06,38
2006-07,39
2006-08,44
2006-09,37
2006-10,40
2006-11,37
2006-12,57
2007-01,66
2007-02,45
2007-03,45
2007-04,40
2007-05,33
2007-06,37
2007-07,32
2007-08,36
2007-09,36
2007-10,33
2007-11,39
2007-12,51
2008-01,62
2008-02,49
2008-03,59
2008-04,37
2008-05,30
2008-06,31
2008-07,31
2008-08,29
2008-09,30
2008-10,25
2008-11,32
2008-12,36
2009-01,47
2009-02,47
2009-03,34
2009-04,27
2009-05,30
2009-06,33
2009-07,31
2009-08,30
2009-09,28
2009-10,30
2009-11,33
2009-12,50
2010-01,78
2010-02,50
2010-03,37
2010-04,75
2010-05,42
2010-06,34
2010-07,32
2010-08,28
2010-09,31
2010-10,28
2010-11,32
2010-12,100
2011-01,45
2011-02,39
2011-03,31
2011-04,27
2011-05,27
2011-06,31
2011-07,29
2011-08,26
2011-09,28
2011-10,27
2011-11,24
2011-12,33
2012-01,42
2012-02,40
2012-03,30
2012-04,26
2012-05,24
2012-06,25
2012-07,27
2012-08,23
2012-09,23
2012-10,26
2012-11,20
2012-12,33
2013-01,45
2013-02,39
2013-03,34
2013-04,23
2013-05,26
2013-06,26
2013-07,24
2013-08,22
2013-09,23
2013-10,24
2013-11,23
2013-12,30
2014-01,37
2014-02,34
2014-03,31
2014-04,23
2014-05,21
2014-06,24
2014-07,25
2014-08,23
2014-09,24
2014-10,23
2014-11,22
2014-12,27
2015-01,35
2015-02,30
2015-03,31
2015-04,22
2015-05,22
2015-06,27
2015-07,23
2015-08,25
2015-09,23
2015-10,23
2015-11,20
2015-12,27
2016-01,34
2016-02,34
2016-03,30
2016-04,22
2016-05,24
2016-06,23
2016-07,26
2016-08,22
2016-09,21
2016-10,20
2016-11,20
2016-12,27
2017-01,35
2017-02,33
2017-03,30
2017-04,23
2017-05,24
2017-06,24
2017-07,26
2017-08,27
2017-09,27
2017-10,25
2017-11,22
2017-12,34
2018-01,39
2018-02,36
2018-03,51
2018-04,25
2018-05,23
2018-06,29
2018-07,29
2018-08,27
2018-09,27
2018-10,22
2018-11,21
2018-12,26
2019-01,33
2019-02,35
2019-03,32
2019-04,27
2019-05,26
2019-06,29
2019-07,29
2019-08,30
2019-09,26
2019-10,24
2019-11,23
2019-12,31
2020-01,38
2020-02,36
2020-03,23
2020-04,5
2020-05,6
2020-06,7
2020-07,9
2020-08,8
2020-09,7
2020-10,6
2020-11,5
2020-12,5
