Catégorie : Toutes catégories

Mois,Hike Switzerland: (Dans tous les pays)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,100
2005-05,0
2005-06,0
2005-07,0
2005-08,86
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,58
2006-07,58
2006-08,0
2006-09,0
2006-10,46
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,33
2007-09,63
2007-10,28
2007-11,28
2007-12,0
2008-01,0
2008-02,27
2008-03,25
2008-04,0
2008-05,0
2008-06,25
2008-07,49
2008-08,0
2008-09,45
2008-10,0
2008-11,0
2008-12,21
2009-01,0
2009-02,0
2009-03,18
2009-04,0
2009-05,18
2009-06,35
2009-07,53
2009-08,0
2009-09,33
2009-10,16
2009-11,16
2009-12,16
2010-01,14
2010-02,0
2010-03,14
2010-04,14
2010-05,28
2010-06,29
2010-07,27
2010-08,26
2010-09,37
2010-10,12
2010-11,23
2010-12,36
2011-01,11
2011-02,0
2011-03,20
2011-04,0
2011-05,20
2011-06,31
2011-07,21
2011-08,40
2011-09,19
2011-10,0
2011-11,0
2011-12,36
2012-01,8
2012-02,9
2012-03,8
2012-04,8
2012-05,16
2012-06,17
2012-07,16
2012-08,32
2012-09,32
2012-10,7
2012-11,15
2012-12,0
2013-01,0
2013-02,29
2013-03,26
2013-04,20
2013-05,44
2013-06,53
2013-07,33
2013-08,13
2013-09,6
2013-10,12
2013-11,12
2013-12,12
2014-01,11
2014-02,18
2014-03,28
2014-04,29
2014-05,12
2014-06,45
2014-07,25
2014-08,44
2014-09,12
2014-10,29
2014-11,6
2014-12,23
2015-01,22
2015-02,12
2015-03,32
2015-04,33
2015-05,32
2015-06,33
2015-07,32
2015-08,48
2015-09,31
2015-10,10
2015-11,20
2015-12,15
2016-01,26
2016-02,22
2016-03,25
2016-04,26
2016-05,56
2016-06,69
2016-07,72
2016-08,50
2016-09,33
2016-10,21
2016-11,26
2016-12,36
2017-01,58
2017-02,36
2017-03,46
2017-04,59
2017-05,44
2017-06,31
2017-07,62
2017-08,77
2017-09,35
2017-10,37
2017-11,24
2017-12,0
2018-01,54
2018-02,15
2018-03,53
2018-04,46
2018-05,63
2018-06,70
2018-07,100
2018-08,94
2018-09,83
2018-10,53
2018-11,36
2018-12,55
2019-01,44
2019-02,47
2019-03,26
2019-04,73
2019-05,70
2019-06,49
2019-07,56
2019-08,82
2019-09,56
2019-10,80
2019-11,29
2019-12,41
2020-01,66
2020-02,53
2020-03,32
2020-04,25
2020-05,45
2020-06,40
2020-07,45
2020-08,76
2020-09,56
2020-10,34
2020-11,16
2020-12,21
