Catégorie : Toutes catégories

Mois,Hotel Switzerland: (Dans tous les pays)
2004-01,87
2004-02,58
2004-03,93
2004-04,69
2004-05,69
2004-06,69
2004-07,81
2004-08,66
2004-09,58
2004-10,60
2004-11,46
2004-12,53
2005-01,49
2005-02,100
2005-03,47
2005-04,75
2005-05,52
2005-06,64
2005-07,57
2005-08,65
2005-09,52
2005-10,55
2005-11,48
2005-12,41
2006-01,48
2006-02,67
2006-03,53
2006-04,58
2006-05,54
2006-06,65
2006-07,72
2006-08,55
2006-09,49
2006-10,36
2006-11,39
2006-12,35
2007-01,51
2007-02,49
2007-03,48
2007-04,44
2007-05,54
2007-06,54
2007-07,55
2007-08,52
2007-09,49
2007-10,46
2007-11,46
2007-12,40
2008-01,53
2008-02,47
2008-03,51
2008-04,41
2008-05,46
2008-06,44
2008-07,50
2008-08,41
2008-09,39
2008-10,32
2008-11,29
2008-12,26
2009-01,32
2009-02,31
2009-03,31
2009-04,38
2009-05,38
2009-06,46
2009-07,47
2009-08,46
2009-09,35
2009-10,35
2009-11,38
2009-12,39
2010-01,40
2010-02,40
2010-03,35
2010-04,34
2010-05,38
2010-06,48
2010-07,42
2010-08,34
2010-09,27
2010-10,27
2010-11,25
2010-12,22
2011-01,32
2011-02,31
2011-03,30
2011-04,33
2011-05,39
2011-06,40
2011-07,37
2011-08,33
2011-09,31
2011-10,27
2011-11,29
2011-12,30
2012-01,31
2012-02,32
2012-03,35
2012-04,34
2012-05,44
2012-06,31
2012-07,39
2012-08,40
2012-09,36
2012-10,25
2012-11,28
2012-12,29
2013-01,37
2013-02,35
2013-03,38
2013-04,35
2013-05,39
2013-06,40
2013-07,39
2013-08,41
2013-09,33
2013-10,27
2013-11,36
2013-12,36
2014-01,34
2014-02,34
2014-03,30
2014-04,34
2014-05,35
2014-06,35
2014-07,36
2014-08,33
2014-09,29
2014-10,29
2014-11,29
2014-12,25
2015-01,30
2015-02,27
2015-03,29
2015-04,26
2015-05,30
2015-06,35
2015-07,33
2015-08,27
2015-09,29
2015-10,23
2015-11,23
2015-12,26
2016-01,34
2016-02,31
2016-03,29
2016-04,31
2016-05,35
2016-06,36
2016-07,30
2016-08,36
2016-09,31
2016-10,39
2016-11,29
2016-12,32
2017-01,34
2017-02,34
2017-03,31
2017-04,33
2017-05,36
2017-06,37
2017-07,42
2017-08,38
2017-09,35
2017-10,34
2017-11,31
2017-12,34
2018-01,37
2018-02,39
2018-03,34
2018-04,33
2018-05,33
2018-06,37
2018-07,42
2018-08,56
2018-09,45
2018-10,36
2018-11,30
2018-12,31
2019-01,37
2019-02,32
2019-03,30
2019-04,32
2019-05,47
2019-06,37
2019-07,38
2019-08,35
2019-09,34
2019-10,30
2019-11,31
2019-12,27
2020-01,37
2020-02,38
2020-03,52
2020-04,32
2020-05,37
2020-06,40
2020-07,63
2020-08,75
2020-09,62
2020-10,60
2020-11,16
2020-12,17
