Catégorie : Hôtels et hébergements

Mois,Geo: Suisse
2004-01,71
2004-02,85
2004-03,87
2004-04,80
2004-05,78
2004-06,90
2004-07,100
2004-08,94
2004-09,92
2004-10,82
2004-11,71
2004-12,68
2005-01,81
2005-02,88
2005-03,87
2005-04,83
2005-05,79
2005-06,87
2005-07,85
2005-08,90
2005-09,86
2005-10,74
2005-11,62
2005-12,60
2006-01,76
2006-02,74
2006-03,73
2006-04,74
2006-05,77
2006-06,76
2006-07,79
2006-08,85
2006-09,78
2006-10,67
2006-11,58
2006-12,55
2007-01,68
2007-02,69
2007-03,69
2007-04,67
2007-05,64
2007-06,67
2007-07,70
2007-08,65
2007-09,64
2007-10,58
2007-11,50
2007-12,44
2008-01,56
2008-02,56
2008-03,57
2008-04,57
2008-05,50
2008-06,53
2008-07,60
2008-08,53
2008-09,52
2008-10,46
2008-11,40
2008-12,36
2009-01,43
2009-02,46
2009-03,48
2009-04,44
2009-05,43
2009-06,45
2009-07,47
2009-08,43
2009-09,44
2009-10,38
2009-11,33
2009-12,29
2010-01,35
2010-02,36
2010-03,39
2010-04,36
2010-05,37
2010-06,36
2010-07,37
2010-08,39
2010-09,34
2010-10,32
2010-11,29
2010-12,26
2011-01,41
2011-02,41
2011-03,39
2011-04,39
2011-05,39
2011-06,38
2011-07,44
2011-08,39
2011-09,38
2011-10,35
2011-11,31
2011-12,28
2012-01,38
2012-02,36
2012-03,35
2012-04,37
2012-05,36
2012-06,34
2012-07,39
2012-08,36
2012-09,36
2012-10,32
2012-11,28
2012-12,26
2013-01,33
2013-02,33
2013-03,34
2013-04,33
2013-05,32
2013-06,32
2013-07,34
2013-08,31
2013-09,31
2013-10,28
2013-11,26
2013-12,24
2014-01,32
2014-02,29
2014-03,29
2014-04,30
2014-05,28
2014-06,29
2014-07,33
2014-08,32
2014-09,30
2014-10,27
2014-11,24
2014-12,24
2015-01,30
2015-02,30
2015-03,31
2015-04,29
2015-05,29
2015-06,28
2015-07,28
2015-08,28
2015-09,27
2015-10,23
2015-11,21
2015-12,20
2016-01,32
2016-02,30
2016-03,31
2016-04,30
2016-05,30
2016-06,30
2016-07,33
2016-08,31
2016-09,30
2016-10,27
2016-11,25
2016-12,23
2017-01,29
2017-02,29
2017-03,28
2017-04,29
2017-05,30
2017-06,30
2017-07,34
2017-08,31
2017-09,30
2017-10,29
2017-11,25
2017-12,25
2018-01,30
2018-02,30
2018-03,29
2018-04,29
2018-05,30
2018-06,27
2018-07,34
2018-08,30
2018-09,30
2018-10,28
2018-11,25
2018-12,25
2019-01,31
2019-02,29
2019-03,30
2019-04,32
2019-05,32
2019-06,29
2019-07,32
2019-08,31
2019-09,30
2019-10,28
2019-11,25
2019-12,25
2020-01,29
2020-02,27
2020-03,16
2020-04,11
2020-05,15
2020-06,21
2020-07,28
2020-08,26
2020-09,23
2020-10,19
2020-11,14
2020-12,15
