Catégorie : Stations de ski

Mois,Geo: Suisse
2004-01,100
2004-02,87
2004-03,61
2004-04,56
2004-05,58
2004-06,60
2004-07,74
2004-08,79
2004-09,71
2004-10,65
2004-11,68
2004-12,85
2005-01,97
2005-02,89
2005-03,70
2005-04,54
2005-05,60
2005-06,64
2005-07,75
2005-08,81
2005-09,64
2005-10,66
2005-11,61
2005-12,77
2006-01,88
2006-02,79
2006-03,71
2006-04,52
2006-05,55
2006-06,60
2006-07,69
2006-08,75
2006-09,61
2006-10,58
2006-11,55
2006-12,67
2007-01,82
2007-02,76
2007-03,63
2007-04,49
2007-05,53
2007-06,55
2007-07,65
2007-08,65
2007-09,55
2007-10,52
2007-11,57
2007-12,66
2008-01,72
2008-02,59
2008-03,56
2008-04,47
2008-05,46
2008-06,46
2008-07,56
2008-08,56
2008-09,51
2008-10,45
2008-11,44
2008-12,58
2009-01,59
2009-02,58
2009-03,48
2009-04,38
2009-05,39
2009-06,42
2009-07,46
2009-08,48
2009-09,41
2009-10,37
2009-11,36
2009-12,46
2010-01,55
2010-02,49
2010-03,39
2010-04,33
2010-05,33
2010-06,36
2010-07,41
2010-08,43
2010-09,35
2010-10,34
2010-11,33
2010-12,41
2011-01,56
2011-02,49
2011-03,41
2011-04,39
2011-05,38
2011-06,43
2011-07,45
2011-08,47
2011-09,41
2011-10,37
2011-11,34
2011-12,53
2012-01,55
2012-02,50
2012-03,40
2012-04,38
2012-05,36
2012-06,38
2012-07,41
2012-08,44
2012-09,41
2012-10,37
2012-11,34
2012-12,47
2013-01,51
2013-02,52
2013-03,43
2013-04,33
2013-05,33
2013-06,36
2013-07,38
2013-08,41
2013-09,36
2013-10,32
2013-11,32
2013-12,41
2014-01,45
2014-02,43
2014-03,36
2014-04,30
2014-05,30
2014-06,33
2014-07,37
2014-08,39
2014-09,34
2014-10,32
2014-11,30
2014-12,41
2015-01,47
2015-02,48
2015-03,37
2015-04,31
2015-05,30
2015-06,31
2015-07,34
2015-08,37
2015-09,30
2015-10,28
2015-11,27
2015-12,30
2016-01,50
2016-02,48
2016-03,39
2016-04,32
2016-05,32
2016-06,33
2016-07,41
2016-08,42
2016-09,36
2016-10,34
2016-11,33
2016-12,37
2017-01,48
2017-02,47
2017-03,37
2017-04,33
2017-05,33
2017-06,36
2017-07,41
2017-08,44
2017-09,37
2017-10,37
2017-11,34
2017-12,48
2018-01,54
2018-02,51
2018-03,42
2018-04,35
2018-05,33
2018-06,35
2018-07,43
2018-08,46
2018-09,39
2018-10,37
2018-11,33
2018-12,45
2019-01,56
2019-02,53
2019-03,43
2019-04,36
2019-05,34
2019-06,40
2019-07,43
2019-08,48
2019-09,41
2019-10,37
2019-11,35
2019-12,45
2020-01,48
2020-02,51
2020-03,33
2020-04,24
2020-05,37
2020-06,42
2020-07,56
2020-08,54
2020-09,48
2020-10,45
2020-11,37
2020-12,45
