Catégorie : Destinations touristiques

Mois,Geo: Suisse
2004-01,92
2004-02,86
2004-03,78
2004-04,78
2004-05,88
2004-06,91
2004-07,100
2004-08,98
2004-09,90
2004-10,78
2004-11,68
2004-12,80
2005-01,91
2005-02,86
2005-03,80
2005-04,83
2005-05,85
2005-06,90
2005-07,97
2005-08,100
2005-09,82
2005-10,77
2005-11,66
2005-12,70
2006-01,84
2006-02,78
2006-03,77
2006-04,75
2006-05,78
2006-06,76
2006-07,91
2006-08,92
2006-09,77
2006-10,73
2006-11,62
2006-12,64
2007-01,77
2007-02,72
2007-03,70
2007-04,67
2007-05,71
2007-06,71
2007-07,79
2007-08,77
2007-09,65
2007-10,61
2007-11,56
2007-12,56
2008-01,65
2008-02,60
2008-03,61
2008-04,61
2008-05,59
2008-06,60
2008-07,68
2008-08,66
2008-09,56
2008-10,51
2008-11,46
2008-12,49
2009-01,54
2009-02,53
2009-03,52
2009-04,54
2009-05,51
2009-06,53
2009-07,55
2009-08,56
2009-09,50
2009-10,44
2009-11,40
2009-12,42
2010-01,48
2010-02,46
2010-03,44
2010-04,42
2010-05,45
2010-06,44
2010-07,50
2010-08,50
2010-09,43
2010-10,40
2010-11,36
2010-12,37
2011-01,52
2011-02,49
2011-03,46
2011-04,50
2011-05,50
2011-06,53
2011-07,57
2011-08,55
2011-09,50
2011-10,46
2011-11,40
2011-12,44
2012-01,52
2012-02,47
2012-03,45
2012-04,48
2012-05,49
2012-06,48
2012-07,52
2012-08,52
2012-09,47
2012-10,44
2012-11,38
2012-12,42
2013-01,47
2013-02,46
2013-03,47
2013-04,44
2013-05,44
2013-06,46
2013-07,48
2013-08,48
2013-09,43
2013-10,39
2013-11,34
2013-12,36
2014-01,44
2014-02,42
2014-03,40
2014-04,40
2014-05,42
2014-06,42
2014-07,47
2014-08,46
2014-09,42
2014-10,41
2014-11,34
2014-12,38
2015-01,43
2015-02,43
2015-03,41
2015-04,42
2015-05,42
2015-06,41
2015-07,44
2015-08,44
2015-09,37
2015-10,33
2015-11,29
2015-12,30
2016-01,45
2016-02,45
2016-03,42
2016-04,42
2016-05,45
2016-06,45
2016-07,51
2016-08,51
2016-09,43
2016-10,41
2016-11,35
2016-12,36
2017-01,45
2017-02,44
2017-03,41
2017-04,43
2017-05,44
2017-06,48
2017-07,52
2017-08,50
2017-09,46
2017-10,44
2017-11,38
2017-12,41
2018-01,48
2018-02,47
2018-03,45
2018-04,44
2018-05,47
2018-06,46
2018-07,52
2018-08,53
2018-09,47
2018-10,45
2018-11,37
2018-12,42
2019-01,50
2019-02,48
2019-03,46
2019-04,49
2019-05,45
2019-06,52
2019-07,54
2019-08,54
2019-09,49
2019-10,46
2019-11,40
2019-12,43
2020-01,47
2020-02,46
2020-03,35
2020-04,29
2020-05,39
2020-06,45
2020-07,57
2020-08,55
2020-09,48
2020-10,43
2020-11,35
2020-12,37
