Catégorie : Toutes catégories

Mois,Visit Lausanne: (Dans tous les pays)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,100
2005-04,0
2005-05,99
2005-06,0
2005-07,0
2005-08,98
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,63
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,35
2007-10,0
2007-11,31
2007-12,34
2008-01,0
2008-02,0
2008-03,0
2008-04,28
2008-05,55
2008-06,29
2008-07,27
2008-08,0
2008-09,0
2008-10,0
2008-11,24
2008-12,0
2009-01,0
2009-02,23
2009-03,62
2009-04,22
2009-05,0
2009-06,20
2009-07,30
2009-08,0
2009-09,0
2009-10,0
2009-11,18
2009-12,0
2010-01,49
2010-02,51
2010-03,16
2010-04,16
2010-05,16
2010-06,25
2010-07,31
2010-08,0
2010-09,21
2010-10,27
2010-11,20
2010-12,13
2011-01,24
2011-02,13
2011-03,23
2011-04,25
2011-05,23
2011-06,12
2011-07,18
2011-08,11
2011-09,11
2011-10,31
2011-11,20
2011-12,0
2012-01,14
2012-02,10
2012-03,18
2012-04,14
2012-05,14
2012-06,14
2012-07,0
2012-08,14
2012-09,27
2012-10,16
2012-11,29
2012-12,25
2013-01,30
2013-02,16
2013-03,15
2013-04,15
2013-05,7
2013-06,19
2013-07,11
2013-08,15
2013-09,11
2013-10,20
2013-11,14
2013-12,14
2014-01,13
2014-02,7
2014-03,6
2014-04,30
2014-05,13
2014-06,7
2014-07,18
2014-08,14
2014-09,21
2014-10,20
2014-11,20
2014-12,13
2015-01,6
2015-02,7
2015-03,34
2015-04,22
2015-05,21
2015-06,22
2015-07,12
2015-08,30
2015-09,15
2015-10,20
2015-11,9
2015-12,20
2016-01,15
2016-02,18
2016-03,20
2016-04,30
2016-05,26
2016-06,9
2016-07,31
2016-08,0
2016-09,16
2016-10,24
2016-11,21
2016-12,9
2017-01,19
2017-02,15
2017-03,21
2017-04,25
2017-05,8
2017-06,18
2017-07,15
2017-08,14
2017-09,31
2017-10,24
2017-11,11
2017-12,11
2018-01,23
2018-02,14
2018-03,33
2018-04,13
2018-05,26
2018-06,11
2018-07,13
2018-08,13
2018-09,31
2018-10,17
2018-11,15
2018-12,26
2019-01,10
2019-02,11
2019-03,22
2019-04,31
2019-05,15
2019-06,23
2019-07,37
2019-08,22
2019-09,27
2019-10,16
2019-11,12
2019-12,16
2020-01,22
2020-02,18
2020-03,12
2020-04,4
2020-05,8
2020-06,8
2020-07,11
2020-08,9
2020-09,6
2020-10,9
2020-11,4
2020-12,12
