Catégorie : Toutes catégories

Mois,Visit Lucerne: (Dans tous les pays)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,70
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,100
2005-06,0
2005-07,0
2005-08,49
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,23
2007-02,0
2007-03,21
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,15
2008-03,0
2008-04,0
2008-05,28
2008-06,14
2008-07,14
2008-08,0
2008-09,25
2008-10,12
2008-11,12
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,10
2009-07,20
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,8
2010-02,0
2010-03,16
2010-04,16
2010-05,16
2010-06,0
2010-07,15
2010-08,7
2010-09,7
2010-10,0
2010-11,0
2010-12,13
2011-01,0
2011-02,0
2011-03,0
2011-04,25
2011-05,18
2011-06,12
2011-07,0
2011-08,11
2011-09,11
2011-10,5
2011-11,5
2011-12,0
2012-01,10
2012-02,0
2012-03,18
2012-04,10
2012-05,9
2012-06,23
2012-07,23
2012-08,9
2012-09,18
2012-10,4
2012-11,17
2012-12,0
2013-01,11
2013-02,0
2013-03,11
2013-04,19
2013-05,18
2013-06,27
2013-07,18
2013-08,7
2013-09,0
2013-10,14
2013-11,0
2013-12,10
2014-01,6
2014-02,0
2014-03,22
2014-04,10
2014-05,20
2014-06,15
2014-07,29
2014-08,22
2014-09,7
2014-10,13
2014-11,7
2014-12,17
2015-01,16
2015-02,17
2015-03,25
2015-04,48
2015-05,21
2015-06,19
2015-07,28
2015-08,27
2015-09,9
2015-10,20
2015-11,17
2015-12,20
2016-01,15
2016-02,6
2016-03,26
2016-04,39
2016-05,33
2016-06,28
2016-07,35
2016-08,26
2016-09,22
2016-10,18
2016-11,21
2016-12,15
2017-01,19
2017-02,27
2017-03,26
2017-04,17
2017-05,25
2017-06,29
2017-07,12
2017-08,11
2017-09,25
2017-10,30
2017-11,13
2017-12,33
2018-01,18
2018-02,17
2018-03,38
2018-04,43
2018-05,39
2018-06,40
2018-07,65
2018-08,38
2018-09,23
2018-10,10
2018-11,23
2018-12,21
2019-01,30
2019-02,35
2019-03,17
2019-04,41
2019-05,42
2019-06,41
2019-07,47
2019-08,45
2019-09,39
2019-10,42
2019-11,24
2019-12,33
2020-01,29
2020-02,28
2020-03,4
2020-04,4
2020-05,2
2020-06,6
2020-07,13
2020-08,11
2020-09,13
2020-10,2
2020-11,11
2020-12,6
