Catégorie : Toutes catégories

Mois,Visit Switzerland: (Dans tous les pays)
2004-01,35
2004-02,62
2004-03,54
2004-04,68
2004-05,29
2004-06,22
2004-07,23
2004-08,28
2004-09,20
2004-10,27
2004-11,13
2004-12,38
2005-01,11
2005-02,29
2005-03,57
2005-04,33
2005-05,66
2005-06,48
2005-07,34
2005-08,33
2005-09,30
2005-10,8
2005-11,32
2005-12,35
2006-01,27
2006-02,25
2006-03,33
2006-04,33
2006-05,30
2006-06,19
2006-07,34
2006-08,26
2006-09,22
2006-10,30
2006-11,39
2006-12,28
2007-01,38
2007-02,28
2007-03,30
2007-04,38
2007-05,33
2007-06,42
2007-07,35
2007-08,30
2007-09,24
2007-10,32
2007-11,23
2007-12,24
2008-01,25
2008-02,28
2008-03,26
2008-04,43
2008-05,43
2008-06,41
2008-07,29
2008-08,40
2008-09,30
2008-10,23
2008-11,22
2008-12,26
2009-01,28
2009-02,24
2009-03,30
2009-04,42
2009-05,57
2009-06,32
2009-07,27
2009-08,34
2009-09,28
2009-10,31
2009-11,24
2009-12,27
2010-01,32
2010-02,21
2010-03,36
2010-04,45
2010-05,43
2010-06,46
2010-07,43
2010-08,39
2010-09,30
2010-10,27
2010-11,24
2010-12,31
2011-01,36
2011-02,33
2011-03,33
2011-04,34
2011-05,42
2011-06,45
2011-07,30
2011-08,29
2011-09,43
2011-10,32
2011-11,26
2011-12,20
2012-01,31
2012-02,33
2012-03,37
2012-04,52
2012-05,52
2012-06,49
2012-07,32
2012-08,44
2012-09,29
2012-10,32
2012-11,26
2012-12,30
2013-01,40
2013-02,32
2013-03,39
2013-04,41
2013-05,50
2013-06,47
2013-07,48
2013-08,43
2013-09,36
2013-10,36
2013-11,32
2013-12,27
2014-01,46
2014-02,42
2014-03,40
2014-04,52
2014-05,48
2014-06,46
2014-07,53
2014-08,46
2014-09,42
2014-10,37
2014-11,32
2014-12,38
2015-01,45
2015-02,39
2015-03,53
2015-04,57
2015-05,61
2015-06,64
2015-07,61
2015-08,56
2015-09,47
2015-10,42
2015-11,37
2015-12,36
2016-01,45
2016-02,52
2016-03,52
2016-04,49
2016-05,63
2016-06,71
2016-07,66
2016-08,54
2016-09,53
2016-10,51
2016-11,47
2016-12,52
2017-01,63
2017-02,52
2017-03,56
2017-04,67
2017-05,73
2017-06,77
2017-07,78
2017-08,71
2017-09,58
2017-10,64
2017-11,54
2017-12,60
2018-01,77
2018-02,71
2018-03,79
2018-04,75
2018-05,82
2018-06,78
2018-07,88
2018-08,76
2018-09,74
2018-10,69
2018-11,59
2018-12,62
2019-01,78
2019-02,72
2019-03,78
2019-04,74
2019-05,88
2019-06,88
2019-07,100
2019-08,85
2019-09,94
2019-10,70
2019-11,73
2019-12,84
2020-01,98
2020-02,76
2020-03,34
2020-04,31
2020-05,30
2020-06,31
2020-07,40
2020-08,40
2020-09,37
2020-10,33
2020-11,29
2020-12,28
