Catégorie : Toutes catégories

Mois,Visit Zurich: (Dans tous les pays)
2004-01,0
2004-02,62
2004-03,76
2004-04,0
2004-05,0
2004-06,51
2004-07,54
2004-08,0
2004-09,68
2004-10,47
2004-11,0
2004-12,87
2005-01,38
2005-02,41
2005-03,50
2005-04,76
2005-05,33
2005-06,33
2005-07,34
2005-08,98
2005-09,29
2005-10,28
2005-11,0
2005-12,0
2006-01,47
2006-02,0
2006-03,0
2006-04,23
2006-05,31
2006-06,0
2006-07,33
2006-08,20
2006-09,19
2006-10,26
2006-11,17
2006-12,44
2007-01,31
2007-02,16
2007-03,21
2007-04,37
2007-05,0
2007-06,33
2007-07,26
2007-08,12
2007-09,35
2007-10,21
2007-11,26
2007-12,56
2008-01,20
2008-02,51
2008-03,19
2008-04,61
2008-05,18
2008-06,29
2008-07,32
2008-08,37
2008-09,25
2008-10,35
2008-11,41
2008-12,24
2009-01,26
2009-02,12
2009-03,52
2009-04,29
2009-05,31
2009-06,27
2009-07,27
2009-08,20
2009-09,28
2009-10,27
2009-11,36
2009-12,36
2010-01,19
2010-02,23
2010-03,47
2010-04,27
2010-05,40
2010-06,36
2010-07,46
2010-08,35
2010-09,26
2010-10,23
2010-11,22
2010-12,25
2011-01,18
2011-02,30
2011-03,31
2011-04,50
2011-05,33
2011-06,53
2011-07,34
2011-08,38
2011-09,36
2011-10,19
2011-11,33
2011-12,17
2012-01,30
2012-02,25
2012-03,34
2012-04,48
2012-05,41
2012-06,33
2012-07,37
2012-08,41
2012-09,35
2012-10,30
2012-11,27
2012-12,21
2013-01,34
2013-02,41
2013-03,27
2013-04,34
2013-05,43
2013-06,43
2013-07,42
2013-08,46
2013-09,30
2013-10,35
2013-11,26
2013-12,39
2014-01,26
2014-02,46
2014-03,31
2014-04,48
2014-05,37
2014-06,50
2014-07,53
2014-08,51
2014-09,45
2014-10,50
2014-11,38
2014-12,43
2015-01,44
2015-02,48
2015-03,54
2015-04,67
2015-05,74
2015-06,71
2015-07,63
2015-08,58
2015-09,47
2015-10,40
2015-11,44
2015-12,36
2016-01,53
2016-02,42
2016-03,55
2016-04,57
2016-05,75
2016-06,69
2016-07,73
2016-08,56
2016-09,51
2016-10,55
2016-11,37
2016-12,60
2017-01,54
2017-02,50
2017-03,76
2017-04,65
2017-05,64
2017-06,63
2017-07,73
2017-08,66
2017-09,69
2017-10,63
2017-11,40
2017-12,48
2018-01,65
2018-02,72
2018-03,84
2018-04,85
2018-05,75
2018-06,86
2018-07,74
2018-08,58
2018-09,77
2018-10,74
2018-11,57
2018-12,58
2019-01,61
2019-02,68
2019-03,55
2019-04,81
2019-05,88
2019-06,92
2019-07,88
2019-08,100
2019-09,88
2019-10,58
2019-11,69
2019-12,93
2020-01,81
2020-02,74
2020-03,23
2020-04,12
2020-05,9
2020-06,17
2020-07,22
2020-08,24
2020-09,19
2020-10,16
2020-11,19
2020-12,10
