Catégorie : Toutes catégories

Mois,Zurich Airport: (Dans tous les pays)
2004-01,60
2004-02,41
2004-03,39
2004-04,29
2004-05,43
2004-06,60
2004-07,40
2004-08,52
2004-09,54
2004-10,51
2004-11,55
2004-12,45
2005-01,52
2005-02,54
2005-03,49
2005-04,39
2005-05,44
2005-06,52
2005-07,68
2005-08,60
2005-09,45
2005-10,32
2005-11,51
2005-12,46
2006-01,44
2006-02,46
2006-03,49
2006-04,42
2006-05,41
2006-06,46
2006-07,44
2006-08,58
2006-09,48
2006-10,36
2006-11,39
2006-12,40
2007-01,54
2007-02,52
2007-03,42
2007-04,43
2007-05,41
2007-06,44
2007-07,47
2007-08,51
2007-09,42
2007-10,41
2007-11,40
2007-12,40
2008-01,41
2008-02,44
2008-03,45
2008-04,39
2008-05,39
2008-06,50
2008-07,45
2008-08,41
2008-09,36
2008-10,32
2008-11,36
2008-12,39
2009-01,37
2009-02,38
2009-03,34
2009-04,38
2009-05,38
2009-06,38
2009-07,46
2009-08,42
2009-09,39
2009-10,34
2009-11,36
2009-12,41
2010-01,52
2010-02,40
2010-03,42
2010-04,100
2010-05,49
2010-06,41
2010-07,42
2010-08,41
2010-09,37
2010-10,32
2010-11,34
2010-12,88
2011-01,37
2011-02,36
2011-03,31
2011-04,33
2011-05,36
2011-06,38
2011-07,38
2011-08,35
2011-09,36
2011-10,32
2011-11,30
2011-12,35
2012-01,36
2012-02,37
2012-03,33
2012-04,32
2012-05,35
2012-06,34
2012-07,34
2012-08,35
2012-09,33
2012-10,30
2012-11,29
2012-12,32
2013-01,37
2013-02,35
2013-03,34
2013-04,32
2013-05,31
2013-06,34
2013-07,35
2013-08,34
2013-09,31
2013-10,28
2013-11,23
2013-12,30
2014-01,31
2014-02,30
2014-03,27
2014-04,28
2014-05,28
2014-06,34
2014-07,36
2014-08,34
2014-09,31
2014-10,29
2014-11,26
2014-12,32
2015-01,31
2015-02,30
2015-03,30
2015-04,32
2015-05,31
2015-06,35
2015-07,35
2015-08,35
2015-09,33
2015-10,27
2015-11,27
2015-12,26
2016-01,29
2016-02,29
2016-03,30
2016-04,29
2016-05,33
2016-06,35
2016-07,33
2016-08,33
2016-09,31
2016-10,29
2016-11,26
2016-12,27
2017-01,33
2017-02,29
2017-03,31
2017-04,32
2017-05,34
2017-06,37
2017-07,36
2017-08,38
2017-09,33
2017-10,32
2017-11,28
2017-12,33
2018-01,35
2018-02,34
2018-03,37
2018-04,34
2018-05,37
2018-06,43
2018-07,41
2018-08,38
2018-09,37
2018-10,31
2018-11,28
2018-12,32
2019-01,35
2019-02,33
2019-03,37
2019-04,38
2019-05,37
2019-06,43
2019-07,41
2019-08,40
2019-09,39
2019-10,33
2019-11,31
2019-12,33
2020-01,36
2020-02,35
2020-03,22
2020-04,8
2020-05,10
2020-06,12
2020-07,13
2020-08,14
2020-09,10
2020-10,9
2020-11,7
2020-12,9
