Catégorie : Toutes catégories

Mois,Hotel: (Suisse)
2010-01,81
2010-02,82
2010-03,83
2010-04,80
2010-05,84
2010-06,83
2010-07,100
2010-08,94
2010-09,85
2010-10,78
2010-11,66
2010-12,61
2011-01,80
2011-02,80
2011-03,74
2011-04,77
2011-05,77
2011-06,81
2011-07,97
2011-08,85
2011-09,80
2011-10,73
2011-11,61
2011-12,59
2012-01,75
2012-02,73
2012-03,74
2012-04,73
2012-05,75
2012-06,76
2012-07,93
2012-08,81
2012-09,79
2012-10,71
2012-11,59
2012-12,60
2013-01,75
2013-02,75
2013-03,75
2013-04,73
2013-05,74
2013-06,74
2013-07,88
2013-08,85
2013-09,78
2013-10,70
2013-11,60
2013-12,60
2014-01,75
2014-02,74
2014-03,73
2014-04,74
2014-05,71
2014-06,76
2014-07,92
2014-08,85
2014-09,78
2014-10,71
2014-11,61
2014-12,59
2015-01,74
2015-02,73
2015-03,73
2015-04,72
2015-05,75
2015-06,74
2015-07,89
2015-08,81
2015-09,77
2015-10,69
2015-11,59
2015-12,60
2016-01,73
2016-02,75
2016-03,73
2016-04,72
2016-05,74
2016-06,71
2016-07,91
2016-08,84
2016-09,76
2016-10,71
2016-11,60
2016-12,60
2017-01,74
2017-02,75
2017-03,71
2017-04,72
2017-05,72
2017-06,74
2017-07,90
2017-08,81
2017-09,75
2017-10,72
2017-11,61
2017-12,60
2018-01,75
2018-02,72
2018-03,71
2018-04,72
2018-05,71
2018-06,71
2018-07,86
2018-08,81
2018-09,76
2018-10,70
2018-11,59
2018-12,60
2019-01,73
2019-02,72
2019-03,68
2019-04,69
2019-05,67
2019-06,74
2019-07,87
2019-08,77
2019-09,76
2019-10,68
2019-11,58
2019-12,63
2020-01,72
2020-02,69
2020-03,33
2020-04,21
2020-05,43
2020-06,65
2020-07,87
2020-08,76
2020-09,72
2020-10,52
2020-11,33
2020-12,37
