Category: All categories

Month,airbnb: (France)
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,< 1
2009-10,< 1
2009-11,0
2009-12,< 1
2010-01,< 1
2010-02,< 1
2010-03,< 1
2010-04,< 1
2010-05,< 1
2010-06,< 1
2010-07,< 1
2010-08,< 1
2010-09,< 1
2010-10,< 1
2010-11,< 1
2010-12,< 1
2011-01,< 1
2011-02,< 1
2011-03,< 1
2011-04,< 1
2011-05,1
2011-06,1
2011-07,1
2011-08,1
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,2
2012-03,2
2012-04,2
2012-05,2
2012-06,3
2012-07,4
2012-08,4
2012-09,3
2012-10,4
2012-11,7
2012-12,5
2013-01,5
2013-02,6
2013-03,7
2013-04,8
2013-05,9
2013-06,10
2013-07,14
2013-08,13
2013-09,10
2013-10,10
2013-11,10
2013-12,10
2014-01,12
2014-02,14
2014-03,18
2014-04,21
2014-05,23
2014-06,22
2014-07,32
2014-08,29
2014-09,21
2014-10,20
2014-11,19
2014-12,20
2015-01,23
2015-02,31
2015-03,35
2015-04,40
2015-05,39
2015-06,47
2015-07,66
2015-08,57
2015-09,40
2015-10,38
2015-11,33
2015-12,32
2016-01,38
2016-02,45
2016-03,50
2016-04,52
2016-05,61
2016-06,58
2016-07,74
2016-08,71
2016-09,47
2016-10,47
2016-11,42
2016-12,38
2017-01,52
2017-02,60
2017-03,61
2017-04,66
2017-05,63
2017-06,71
2017-07,94
2017-08,89
2017-09,54
2017-10,55
2017-11,50
2017-12,49
2018-01,65
2018-02,63
2018-03,66
2018-04,71
2018-05,67
2018-06,70
2018-07,88
2018-08,88
2018-09,57
2018-10,54
2018-11,44
2018-12,43
2019-01,60
2019-02,65
2019-03,64
2019-04,71
2019-05,70
2019-06,73
2019-07,87
2019-08,80
2019-09,56
2019-10,53
2019-11,48
2019-12,49
2020-01,64
2020-02,68
2020-03,34
2020-04,21
2020-05,40
2020-06,82
2020-07,100
2020-08,82
2020-09,46
2020-10,37
2020-11,20
2020-12,31
